_key,id,nome,porcao,base_unit,category_id,proteina,attributes/protein/unit,lipidio,attributes/lipid/unit,carboidrato,attributes/carbohydrate/unit,sodio,attributes/sodium/unit,caloria,attributes/energy/kj
307,308,"Pescada, file, frito",100,g,5,28.5875,g,3.57,g,,,114.905333333333,mg,154.270025,645.4657846
308,309,"Pescada, file, molho escabeche",100,g,5,11.75,g,8.024,g,5.01533333333334,g,51.2876666666667,mg,141.958322875023,593.953622909096
309,310,"Pescadinha, crua",100,g,5,15.4791666666667,g,1.14333333333333,g,,,120.338666666667,mg,76.4089083333333,319.694872466667
310,311,"Pintado, assado",100,g,5,36.45,g,3.982,g,,,80.9526666666667,mg,191.559141127586,801.483446477821
311,312,"Pintado, cru",100,g,5,18.5566666666667,g,1.31333333333333,g,,,43.3366666666667,mg,91.0832333333333,381.092248266667
312,313,"Pintado, grelhado",100,g,5,30.7958333333333,g,2.294,g,,,53.0886666666667,mg,152.190088333333,636.763329586667
313,314,"Porquinho, cru",100,g,5,20.49,g,0.613333333333333,g,,,66.73,mg,93.0245666666667,389.214786933333
314,315,"Salmao, file, com pele, fresco,  grelhado",100,g,5,23.91875,g,14.0353333333333,g,,,85.135,mg,228.731775135318,957.013747166172
315,316,"Salmao, sem pele, fresco, cru",100,g,5,19.2520833333333,g,9.709,g,,,64.2416666666667,mg,169.781579910556,710.366130345768
316,317,"Salmao, sem pele, fresco, grelhado",100,g,5,26.1416666666667,g,14.5323333333333,g,,,95.8113333333333,mg,242.706569487095,1015.48428673401
317,318,"Sardinha, assada",100,g,5,32.1791666666667,g,2.98733333333333,g,,,74.4683333333333,mg,164.350788333333,687.643698386667
318,319,"Sardinha, conserva em oleo",100,g,5,15.9395833333333,g,24.0486666666667,g,,,665.840333333333,mg,284.981004871249,1192.36052438131
319,320,"Sardinha, frita",100,g,5,33.3833333333333,g,12.6933333333333,g,,,60.099,mg,257.0407,1075.4582888
320,321,"Sardinha, inteira, crua",100,g,5,21.0766666666667,g,2.65,g,,,60.3866666666667,mg,113.900366666667,476.559134133333
321,322,"Tucunare, file, congelado, cru",100,g,5,17.9583333333333,g,1.22,g,-0.045000000000008,g,56.5543333333333,mg,87.686483549277,366.880247170175
322,323,Apresuntado,100,g,6,13.45,g,6.69066666666667,g,2.862,g,942.933,mg,128.857255812009,539.138758317446
323,324,"Caldo de carne, tablete",100,g,6,7.82,g,16.57,g,15.0533333333333,g,22179.6666666667,mg,240.623333333333,1006.76802666667
324,325,"Caldo de galinha, tablete",100,g,6,6.27916666666667,g,20.4163333333333,g,10.6455,g,22299.9003333333,mg,251.445666666667,1052.04866933333
